country,year,sotu_sent_pn,sotu_sent_ab,ungd_sent_pn,ungd_sent_ab,ungd_wl,sotu_wl,sotu_econ,ungd_econ,sotu_secu,ungd_secu
CHN,1956,0.020621827411167512,0.16671954314720813,NA,NA,NA,7.590656725888325,0.06781408629441624,NA,0.012690355329949238,NA
CHN,1969,-0.0561318743782862,0.17351143953389228,NA,NA,NA,7.430865425607503,0.019894841551797642,NA,0.023873809862157168,NA
CHN,1971,NA,NA,-0.04216867469879518,0.3089500860585198,7.117039586919105,NA,NA,0.016351118760757316,NA,0.04130808950086059
CHN,1972,NA,NA,-0.011802575107296138,0.26645207439198854,7.349427753934192,NA,NA,0.010014306151645207,NA,0.10085836909871244
CHN,1973,-0.027131782945736434,0.19638242894056848,0.004680708793045804,0.25275827482447344,7.22567703109328,7.1976744186046515,0.018733850129198967,0.007689735874289535,0.018410852713178296,0.06118355065195587
CHN,1974,NA,NA,-0.010858500169664066,0.24160162877502545,7.390227349847303,NA,NA,0.010858500169664066,NA,0.051238547675602306
CHN,1975,NA,NA,0.011807149885208265,0.27681206953099374,7.325024598228928,NA,NA,0.017382748442112166,NA,0.06067563135454247
CHN,1976,NA,NA,0.05269761606022585,0.27728983688833125,7.269761606022585,NA,NA,0.006273525721455458,NA,0.033249686323713924
CHN,1977,-0.04039142202789923,0.1867582760774516,0.017361111111111112,0.35555555555555557,7.159722222222222,7.348323964189048,0.022590047886737456,0.007291666666666667,0.025817197584842806,0.05625
CHN,1978,NA,NA,0.038346613545816734,0.35806772908366535,7.534362549800797,NA,NA,0.013446215139442231,NA,0.07420318725099602
CHN,1979,NA,NA,0.06070889894419306,0.2944947209653092,7.534690799396682,NA,NA,0.013197586726998492,NA,0.0641025641025641
CHN,1980,NA,NA,-0.0019408054342552159,0.2726831635128578,7.499272197962155,NA,NA,0.006792819019893256,NA,0.06210577389616691
CHN,1981,NA,NA,0.028751753155680224,0.26297335203366057,7.64796633941094,NA,NA,0.0091164095371669,NA,0.046984572230014024
CHN,1982,0.02996214169821525,0.1857220118983234,0.07519640852974187,0.25925925925925924,7.47418630751964,7.579772850189292,0.04921579232017307,0.01627384960718294,0.013953488372093023,0.057800224466891134
CHN,1983,NA,NA,0.08543489449305199,0.28409675759135355,7.510036026762738,NA,NA,0.014925373134328358,NA,0.0797735460627895
CHN,1984,NA,NA,0.034404708012675415,0.27976459936622905,7.565866908103214,NA,NA,0.03214124038026256,NA,0.08374830239927569
CHN,1985,NA,NA,0.05322128851540616,0.30196078431372547,7.3882352941176475,NA,NA,0.03417366946778711,NA,0.09299719887955182
CHN,1986,NA,NA,0.08036739380022963,0.2893226176808266,7.6923076923076925,NA,NA,0.032721010332950634,NA,0.07233065442020666
CHN,1987,0.07493118564583545,0.1452747476807014,0.08045433033601515,0.26975863700899194,7.6971131093232374,7.828728718523805,0.08002854521357937,0.03360151443445338,0.008563564073809767,0.08187411263606247
CHN,1988,NA,NA,0.08516483516483517,0.2917582417582418,7.655494505494506,NA,NA,0.03076923076923077,NA,0.06593406593406594
CHN,1989,NA,NA,0.10145739910313901,0.24047085201793722,7.648542600896861,NA,NA,0.020179372197309416,NA,0.04147982062780269
CHN,1990,NA,NA,0.11050583657587548,0.28326848249027237,7.4863813229571985,NA,NA,0.020233463035019456,NA,0.05525291828793774
CHN,1991,NA,NA,0.10226155358898721,0.2359882005899705,7.656342182890856,NA,NA,0.030973451327433628,NA,0.046214355948869225
CHN,1992,0.10227004019862852,0.1753369590919839,0.11454311454311454,0.28442728442728443,7.640926640926641,7.672735871364389,0.06479073066918893,0.05405405405405406,0.013241901158666351,0.055984555984555984
CHN,1993,NA,NA,0.054775280898876406,0.28370786516853935,7.656601123595506,NA,NA,0.042134831460674156,NA,0.07443820224719101
CHN,1994,NA,NA,0.08326394671107411,0.21648626144879268,7.681931723563697,NA,NA,0.04329725228975854,NA,0.07410491257285595
CHN,1995,NA,NA,0.11001788908765653,0.29427549194991054,7.541144901610018,NA,NA,0.03041144901610018,NA,0.06887298747763863
CHN,1996,NA,NA,0.07629629629629629,0.2288888888888889,7.562962962962963,NA,NA,0.052592592592592594,NA,0.052592592592592594
CHN,1997,0.11014672452986154,0.1717296962182269,0.12007332722273144,0.23373052245646195,7.491292392300641,7.593717710270717,0.05775986774126886,0.03024747937671861,0.014465798718743542,0.05682859761686526
CHN,1998,NA,NA,0.11236660389202763,0.23540489642184556,7.591964846202134,NA,NA,0.03327055869428751,NA,0.06528562460765851
CHN,1999,NA,NA,0.07032348804500703,0.26863572433192684,7.80379746835443,NA,NA,0.030239099859353025,NA,0.053445850914205346
CHN,2000,NA,NA,0.1156515034695451,0.2189668465690054,7.593677717810332,NA,NA,0.029298380878951428,NA,0.036237471087124135
CHN,2001,NA,NA,0.13696808510638298,0.24601063829787234,7.631648936170213,NA,NA,0.03324468085106383,NA,0.0598404255319149
CHN,2002,0.14927965668744253,0.18524573413712067,0.10105757931844889,0.199764982373678,7.776733254994125,7.664146316542352,0.0686625114948401,0.045828437132784956,0.016961275160927762,0.07168037602820211
CHN,2003,NA,NA,0.13896987366375121,0.24392614188532555,7.498542274052478,NA,NA,0.043731778425655975,NA,0.03595724003887269
CHN,2004,NA,NA,0.1523046092184369,0.2925851703406814,7.802605210420841,NA,NA,0.04308617234468938,NA,0.07515030060120241
CHN,2005,NA,NA,0.12461695607763024,0.2226762002042901,7.579162410623085,NA,NA,0.049029622063329927,NA,0.03881511746680286
