country,year,sotu_sent_pn,sotu_sent_ab,ungd_sent_pn,ungd_sent_ab,sotu_econ,ungd_econ,sotu_secu,ungd_secu,ungd_moral,sotu_moral,ungd_enviro,sotu_enviro
CHN,1956,0.020621827411167512,0.16671954314720813,NA,NA,0.07090736040609137,NA,0.015387055837563451,NA,NA,0.02260469543147208,NA,7.931472081218274e-4
CHN,1969,-0.0561318743782862,0.17351143953389228,NA,NA,0.022168537729145944,NA,0.024300127895409977,NA,NA,0.04803183174648288,NA,8.526360665056132e-4
CHN,1971,NA,NA,-0.04216867469879518,0.3089500860585198,NA,0.020654044750430294,NA,0.04130808950086059,0.03614457831325301,NA,0.0025817555938037868,NA
CHN,1972,NA,NA,-0.011802575107296138,0.26645207439198854,NA,0.015021459227467811,NA,0.1044349070100143,0.007868383404864092,NA,0.00178826895565093,NA
CHN,1973,-0.027131782945736434,0.19638242894056848,0.004680708793045804,0.25275827482447344,0.02099483204134367,0.014376462721497826,0.01937984496124031,0.06552992310264126,0.008692744901370779,0.030361757105943153,0,9.689922480620155e-4
CHN,1974,NA,NA,-0.010858500169664066,0.24160162877502545,NA,0.021038344078724125,NA,0.053953172718018326,0.017984390906006106,NA,0.0013573125212080082,NA
CHN,1975,NA,NA,0.011807149885208265,0.27681206953099374,NA,0.029189898327320433,NA,0.06461134798294522,0.014102984585109873,NA,3.2797638570022957e-4,NA
CHN,1976,NA,NA,0.05269761606022585,0.27728983688833125,NA,0.01191969887076537,NA,0.03638644918444166,0.02070263488080301,NA,0.0018820577164366374,NA
CHN,1977,-0.04039142202789923,0.1867582760774516,0.017361111111111112,0.35555555555555557,0.02467207995003123,0.012152777777777778,0.02633770560066625,0.058333333333333334,0.015625,0.036956069123464504,3.4722222222222224e-4,6.246096189881324e-4
CHN,1978,NA,NA,0.038346613545816734,0.35806772908366535,NA,0.02390438247011952,NA,0.07768924302788845,0.009462151394422311,NA,9.9601593625498e-4,NA
CHN,1979,NA,NA,0.06070889894419306,0.2944947209653092,NA,0.02865761689291101,NA,0.06636500754147813,0.01282051282051282,NA,7.541478129713424e-4,NA
CHN,1980,NA,NA,-0.0019408054342552159,0.2726831635128578,NA,0.015526443474041727,NA,0.06404657933042213,0.008248423095584668,NA,0,NA
CHN,1981,NA,NA,0.028751753155680224,0.26297335203366057,NA,0.03155680224403927,NA,0.04908835904628331,0.0091164095371669,NA,7.012622720897616e-4,NA
CHN,1982,0.02996214169821525,0.1857220118983234,0.07519640852974187,0.25925925925925924,0.05927528393726338,0.03254769921436588,0.014494321254732288,0.06172839506172839,0.016835016835016835,0.03061114115738237,5.611672278338945e-4,5.408328826392645e-4
CHN,1983,NA,NA,0.08543489449305199,0.28409675759135355,NA,0.028306742151312403,NA,0.08440555841482245,0.007720020586721565,NA,0.002058672156459084,NA
CHN,1984,NA,NA,0.034404708012675415,0.27976459936622905,NA,0.04798551380715256,NA,0.08963331824354911,0.006790402897238569,NA,4.526935264825713e-4,NA
CHN,1985,NA,NA,0.05322128851540616,0.30196078431372547,NA,0.048179271708683476,NA,0.09803921568627451,0.007282913165266107,NA,5.602240896358543e-4,NA
CHN,1986,NA,NA,0.08036739380022963,0.2893226176808266,NA,0.05166475315729047,NA,0.07921928817451206,0.02066590126291619,NA,0.001722158438576349,NA
CHN,1987,0.07493118564583545,0.1452747476807014,0.08045433033601515,0.26975863700899194,0.09287389132429402,0.04779933743492665,0.0088694056478744,0.08471367723615712,0.008991954566966399,0.023651748394331738,0.001419782300047326,0.0018350494443878072
CHN,1988,NA,NA,0.08516483516483517,0.2917582417582418,NA,0.0510989010989011,NA,0.07032967032967033,0.017582417582417582,NA,0.0027472527472527475,NA
CHN,1989,NA,NA,0.10145739910313901,0.24047085201793722,NA,0.032511210762331835,NA,0.04596412556053812,0.013452914798206279,NA,0.002242152466367713,NA
CHN,1990,NA,NA,0.11050583657587548,0.28326848249027237,NA,0.03501945525291829,NA,0.060700389105058365,0.010116731517509728,NA,0.010894941634241245,NA
CHN,1991,NA,NA,0.10226155358898721,0.2359882005899705,NA,0.048180924287118974,NA,0.051622418879056046,0.032448377581120944,NA,0.00983284169124877,NA
CHN,1992,0.10227004019862852,0.1753369590919839,0.11454311454311454,0.28442728442728443,0.08122487585717664,0.07786357786357787,0.014424213762118705,0.06177606177606178,0.014157014157014158,0.026483802317332703,0.0032175032175032173,0.002955781508630882
CHN,1993,NA,NA,0.054775280898876406,0.28370786516853935,NA,0.0625,NA,0.07935393258426966,0.009129213483146067,NA,0.0049157303370786515,NA
CHN,1994,NA,NA,0.08326394671107411,0.21648626144879268,NA,0.05995004163197336,NA,0.07826810990840966,0.025811823480432972,NA,0.005828476269775187,NA
CHN,1995,NA,NA,0.11001788908765653,0.29427549194991054,NA,0.049194991055456175,NA,0.07513416815742398,0.013416815742397137,NA,0.0026833631484794273,NA
CHN,1996,NA,NA,0.07629629629629629,0.2288888888888889,NA,0.07555555555555556,NA,0.05333333333333334,0.012592592592592593,NA,0.007407407407407408,NA
CHN,1997,0.11014672452986154,0.1717296962182269,0.12007332722273144,0.23373052245646195,0.06984914238479024,0.04857928505957837,0.01622235999173383,0.06049495875343722,0.034830430797433545,0.030998140111593304,0.00458295142071494,0.0026865054763380862
CHN,1998,NA,NA,0.11236660389202763,0.23540489642184556,NA,0.044569993722536096,NA,0.0696798493408663,0.032015065913371,NA,0.004394224733207784,NA
CHN,1999,NA,NA,0.07032348804500703,0.26863572433192684,NA,0.04571026722925457,NA,0.058368495077355836,0.03164556962025317,NA,0.004922644163150493,NA
