"","year","ctry","milt_expend","gni_growth"
"154",1961,"RUS",NA,NA
"155",1962,"RUS",NA,NA
"156",1963,"RUS",NA,NA
"157",1964,"RUS",NA,NA
"158",1965,"RUS",NA,NA
"159",1966,"RUS",NA,NA
"160",1967,"RUS",NA,NA
"161",1968,"RUS",NA,NA
"162",1969,"RUS",NA,NA
"163",1970,"RUS",NA,NA
"164",1971,"RUS",NA,NA
"165",1972,"RUS",NA,NA
"166",1973,"RUS",NA,NA
"167",1974,"RUS",NA,NA
"168",1975,"RUS",NA,NA
"169",1976,"RUS",NA,NA
"170",1977,"RUS",NA,NA
"171",1978,"RUS",NA,NA
"172",1979,"RUS",NA,NA
"173",1980,"RUS",NA,NA
"174",1981,"RUS",NA,NA
"175",1982,"RUS",NA,NA
"176",1983,"RUS",NA,NA
"177",1984,"RUS",NA,NA
"178",1985,"RUS",NA,NA
"179",1986,"RUS",NA,NA
"180",1987,"RUS",NA,NA
"181",1988,"RUS",343617.345,NA
"182",1989,"RUS",318616.099,NA
"183",1990,"RUS",269544.788,NA
"184",1991,"RUS",NA,-5.3228256
"185",1992,"RUS",57641.3552,-15.2588075
"186",1993,"RUS",50388.7118,-8.5240569
"187",1994,"RUS",47634.5912,-11.9447757
"188",1995,"RUS",31341.6948,-4.49481473
"189",1996,"RUS",29595.8296,-3.92260839
"190",1997,"RUS",32354.8521,0.89957974
"191",1998,"RUS",19242.8327,-7.0677647
"192",1999,"RUS",21370.0407,NA
"193",2000,"RUS",28838.453,11.79797118
"194",2001,"RUS",31170.6701,6.989992085
"195",2002,"RUS",34529.6556,4.746888422
"196",2003,"RUS",36200.4083,6.609536298
"197",2004,"RUS",37846.639,8.498734299
"198",2005,"RUS",43010.0352,6.435744614
"199",2006,"RUS",47601.1683,7.951327955
"200",2007,"RUS",51813.9621,9.504809134
"201",2008,"RUS",56933.2996,4.573370373
"202",2009,"RUS",59730.2248,-8.03206869
"203",2010,"RUS",60939.6563,4.514533989
"204",2011,"RUS",65040.3101,4.172172
"205",2012,"RUS",75364.3207,3.145482493
"206",2013,"RUS",79030.424,0.680035557
"207",2014,"RUS",84696.5046,-0.70576697
"208",2015,"RUS",91080.9418,-2.34153509
"209",2016,"RUS",NA,NA
"210",2017,"RUS",NA,NA
"211",1913,"GHA",NA,NA
"212",1914,"GHA",NA,NA
"213",1915,"GHA",NA,NA
"214",1916,"GHA",NA,NA
"215",1917,"GHA",NA,NA
"216",1918,"GHA",NA,NA
"217",1919,"GHA",NA,NA
"218",1920,"GHA",NA,NA
"219",1921,"GHA",NA,NA
"220",1922,"GHA",NA,NA
"221",1923,"GHA",NA,NA
"222",1924,"GHA",NA,NA
"223",1925,"GHA",NA,NA
"224",1926,"GHA",NA,NA
"225",1927,"GHA",NA,NA
"226",1928,"GHA",NA,NA
"227",1929,"GHA",NA,NA
"228",1930,"GHA",NA,NA
"229",1931,"GHA",NA,NA
"230",1932,"GHA",NA,NA
"231",1933,"GHA",NA,NA
"232",1934,"GHA",NA,NA
"233",1935,"GHA",NA,NA
"234",1936,"GHA",NA,NA
"235",1937,"GHA",NA,NA
"236",1938,"GHA",NA,NA
"237",1939,"GHA",NA,NA
"238",1940,"GHA",NA,NA
"239",1941,"GHA",NA,NA
"240",1942,"GHA",NA,NA
"241",1943,"GHA",NA,NA
"242",1944,"GHA",NA,NA
"243",1945,"GHA",NA,NA
"244",1946,"GHA",NA,NA
"245",1947,"GHA",NA,NA
"246",1948,"GHA",NA,NA
"247",1949,"GHA",NA,NA
"248",1950,"GHA",NA,NA
"249",1951,"GHA",NA,NA
"250",1952,"GHA",NA,NA
"251",1953,"GHA",NA,NA
"252",1954,"GHA",NA,NA
"253",1955,"GHA",NA,NA
"254",1956,"GHA",NA,NA
"255",1957,"GHA",NA,NA
"256",1958,"GHA",38.5728633,NA
"257",1959,"GHA",43.9399665,NA
"258",1960,"GHA",77.3946208,NA
"259",1961,"GHA",96.2619237,NA
"260",1962,"GHA",89.7085791,NA
"261",1963,"GHA",95.5819849,NA
"262",1964,"GHA",91.1442142,NA
"263",1965,"GHA",77.0089094,NA
"264",1966,"GHA",90.4966916,NA
"265",1967,"GHA",NA,NA
"266",1968,"GHA",122.344584,NA
"267",1969,"GHA",126.249316,NA
"268",1970,"GHA",117.266698,NA
"269",1971,"GHA",95.180053,NA
"270",1972,"GHA",81.8000813,NA
"271",1973,"GHA",82.5472502,NA
"272",1974,"GHA",107.736941,NA
"273",1975,"GHA",102.016107,NA
"274",1976,"GHA",73.7655612,NA
"275",1977,"GHA",46.6284242,NA
